algorithm,descriptors,training_set,word_embedding,top1,MRR
custom,atm,googleplay,wm,226,0.795891209
atm,atm,googleplay,wm,205,0.762631338
custom,craftdroid,blogs,wm,199,0.747915998
custom,atm,empty,edit_distance,189,0.738171279
atm,atm,blogs,glove,184,0.731905447
custom,craftdroid,googleplay,glove,183,0.726458566
craftdroid,intersection,googleplay,w2v,182,0.720522811
custom,intersection,standard,glove,177,0.716220326
atm,union,googleplay,wm,165,0.711545005
atm,atm,googleplay,fast,172,0.706031383
atm,intersection,blogs,fast,168,0.700894211
craftdroid,craftdroid,googleplay,wm,173,0.6958901
craftdroid,intersection,blogs,fast,167,0.687064899
adaptdroid,intersection,standard,fast,175,0.68071761
craftdroid,atm,empty,jaccard,153,0.672377942
adaptdroid,union,standard,wm,180,0.66410797
adaptdroid,intersection,standard,nnlm,178,0.65531943
adaptdroid,craftdroid,blogs,wm,166,0.64841903
atm,craftdroid,android,glove,141,0.639930055
adaptdroid,atm,android,w2v,159,0.62872819
adaptdroid,craftdroid,blogs,w2v,152,0.6193969
adaptdroid,craftdroid,android,fast,151,0.60850535
adaptdroid,craftdroid,android,w2v,143,0.58909203
