algorithm,descriptors,training_set,word_embedding,MRR
custom,atm,standard,wm,0.788772192
custom,atm,android,wm,0.779637883
custom,atm,standard,use,0.776731661
custom,atm,blogs,wm,0.774058665
custom,union,googleplay,wm,0.77295361
custom,intersection,googleplay,wm,0.771865857
custom,union,blogs,wm,0.769059086
custom,union,android,wm,0.7676493
custom,craftdroid,standard,wm,0.766266855
atm,atm,standard,wm,0.76537099
custom,craftdroid,android,wm,0.762863082
atm,atm,googleplay,wm,0.762631338
custom,craftdroid,standard,use,0.76068395
atm,atm,standard,use,0.760503807
custom,union,standard,use,0.759220613
custom,atm,standard,fast,0.75715753
custom,union,googleplay,w2v,0.756831028
custom,intersection,standard,use,0.753084077
custom,craftdroid,standard,nnlm,0.751732256
custom,intersection,standard,wm,0.751349174
atm,intersection,googleplay,wm,0.750397587
custom,intersection,standard,nnlm,0.74827173
custom,craftdroid,blogs,wm,0.747915998
custom,union,googleplay,fast,0.747761166
craftdroid,atm,googleplay,wm,0.746769102
custom,atm,standard,w2v,0.74649967
custom,craftdroid,googleplay,w2v,0.744862989
atm,atm,android,wm,0.74331149
atm,intersection,standard,wm,0.743051203
custom,atm,android,w2v,0.742662799
custom,union,standard,fast,0.741596611
custom,intersection,googleplay,w2v,0.738997377
atm,atm,standard,nnlm,0.738480206
custom,atm,empty,edit_distance,0.738171279
custom,craftdroid,googleplay,fast,0.737632419
custom,intersection,standard,fast,0.737236473
custom,atm,googleplay,fast,0.736909367
custom,intersection,standard,w2v,0.735482299
custom,union,googleplay,glove,0.735145287
atm,intersection,blogs,glove,0.734601622
custom,atm,android,glove,0.7343986
atm,intersection,blogs,wm,0.734133309
custom,atm,standard,bert,0.73265391
atm,intersection,standard,use,0.732168975
custom,craftdroid,empty,jaccard,0.732008301
custom,union,standard,w2v,0.731698167
atm,intersection,android,glove,0.731174871
atm,atm,standard,w2v,0.730700679
custom,craftdroid,standard,fast,0.729393994
custom,union,empty,edit_distance,0.729021026
atm,atm,standard,glove,0.728963361
custom,union,standard,glove,0.728020681
custom,union,blogs,fast,0.727772854
atm,atm,standard,fast,0.727510442
custom,intersection,googleplay,fast,0.727342443
atm,intersection,android,wm,0.726708901
custom,craftdroid,googleplay,glove,0.726458566
